Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
24.14,20.55,18.81,20.96,17,17,20
14.3,14.25,13.83,15.27,11,14,10
21,19.28,21.95,32.23,23,13,21
18.75,22.57,14.54,18.76,12,13,15
16.84,13.96,23.76,15.21,11,18,12
86.25,40.94,63.16,22.89,31,42,31
14.59,16.36,16.39,14.87,15,14,16
15.69,16.37,15.01,13.59,11,14,14
13.53,22.05,18.01,18.77,14,18,13
20.77,23.28,26.24,21.46,13,19,24
48.43,32.94,27.99,54.16,31,29,29
12.2,16.41,14.12,23.69,16,15,12
18.38,23.34,15.58,15.6,11,16,15
18.89,20.03,20.52,18.33,18,14,15
13.44,13.77,18.47,19.25,15,11,12
16.73,16.64,19.04,22.08,19,12,14
15.84,13.85,11.92,9.23,12,7,9
15.52,19.3,21.18,22.67,15,31,30
20.15,15.57,15.86,15.6,13,10,10
12.73,16.54,13.4,15.57,18,14,15
17.2,24.31,21.96,23.09,13,24,16
15.94,17.43,19.64,22.13,11,23,17
14.88,17.89,13,12.94,15,20,14
18.26,19.7,17.69,13.52,13,14,10
12.91,13.12,18.11,10.99,10,14,14
18.2,20.65,24.24,22.95,17,14,20
11.95,16.14,10.7,11.15,13,11,15
21.18,27.55,38.84,25.18,11,21,19
50.35,72.34,48.42,26.72,41,22,16
16.4,14.4,18.14,16.77,14,10,12
29,37.6,20.68,22.71,22,29,18
14.85,15.48,16.38,17.63,15,13,13
11.49,15.04,12.2,13.08,13,16,16
16.08,18.21,18.46,17.81,15,19,14
20.13,16.36,26.77,22.28,25,26,22
25.12,19.21,22.79,19.7,15,26,17
18.68,38.25,17.37,40.16,12,31,26
20.92,19.73,15.84,15.62,16,8,10
20.06,24.22,28.09,36.51,23,31,39
15.09,14.14,21.99,22.56,25,15,16
16.03,16.66,15.13,12.41,13,10,16
72.71,43.97,104.41,45.97,35,33,24
23.34,18.34,19.44,17.01,12,13,12
11.8,12.63,17.67,11.01,10,12,9
25.63,15.78,20.96,15.08,17,22,22
15.85,13.93,14.99,15.81,14,18,13
24.58,23.98,25.78,23.37,24,21,26
15.62,17.94,14.69,21.91,16,12,12
14.15,13.7,13.37,13.08,10,13,15
27.37,28.26,29.98,20.69,15,22,43
14.93,15.23,19.02,17.32,18,20,13
25.4,26.04,27.74,27.06,17,21,19
49.96,30.39,28.15,20.11,35,30,28
18,16.28,17.55,11.83,13,17,11
19.94,12.55,21.47,21.44,18,10,12
46.91,30.06,36.54,15.41,16,21,36
18.89,18.91,26.27,16.75,17,37,17
13.47,12.77,15.89,10.62,15,15,13
18.47,15.46,17.32,14.25,12,13,10
43.69,35.69,31.99,27.73,24,49,23
28.66,24.9,25.02,31.81,25,20,20
16.68,16.11,16.69,11.83,11,16,13
20.95,28.55,26.89,23.73,17,36,16
16.94,16.48,18.6,26.25,18,20,39
13.78,15.04,16.54,13.78,17,17,12
15.41,16.56,15.3,10.42,11,11,12
25.32,13.37,19.31,17.72,21,24,12
12.4,14.42,14.57,16.71,17,15,26
