Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
68.73186457,90.60172665,112.8505686,146.9163631,104.5000451,120.2484819,126.3005056
18.7504986,69.68223927,93.10915741,124.6392939,54.94134154,106.8472365,160.0753615
36.53703021,83.31781832,94.69274878,126.4866474,83.08095141,90.86923436,123.7952743
37.57961106,67.25711819,80.09812996,86.20678531,72.27341136,91.50577102,166.0528055
63.33914961,78.30079724,104.4657512,116.2033331,100.8590571,120.2184756,94.74810356
34.80527019,93.33049684,99.49430347,136.7298896,72.10006831,88.01455046,161.597676
69.95396191,105.8894659,119.2499136,107.6280734,101.3432614,139.3266505,180.6998415
65.35593474,73.89967616,104.8090161,142.0207624,80.18057785,117.812307,114.6600171
40.34519234,90.36292829,107.1059429,123.8061621,84.45861417,85.06543089,153.1272399
29.67681306,48.76695117,73.53879047,83.1976203,53.49851882,61.84987356,83.45960031
17.40784708,73.92998757,99.09675475,120.2046036,89.1928578,84.79682391,167.4539054
106.579828,135.6123662,156.6442987,177.0083764,150.9282703,196.3360874,172.5756744
17.07259884,105.3073015,108.0097698,133.7892716,81.03700436,58.66236447,146.3631817
65.04856995,86.80852674,104.8642951,115.6898431,99.3124627,126.3716436,157.9287399
91.97209222,108.7308089,116.6557511,140.2146638,119.4782361,139.4607991,125.33512
65.7942961,80.82834817,114.0993322,82.64616381,94.07388463,116.1010943,182.9822336
93.10362405,110.3933804,127.4579512,147.0821195,122.7118911,157.5356628,158.746582
24.55708833,96.45147073,104.9065748,123.6477552,81.62430856,147.7946057,193.8275608
60.0171822,100.311795,94.0148761,123.7743923,90.74068792,83.32758688,381.5301676
92.07240572,103.1845335,117.400752,135.3407239,121.7216704,140.3947333,167.11064
72.96428754,130.2729962,132.9365766,162.7159437,115.5147163,139.874766,165.2881256
70.63823124,90.9135136,94.94940449,109.6820071,95.65915161,155.0463793,135.2248792
81.79662226,98.14960928,112.5623957,139.9432167,103.9220083,133.4751985,188.5834261
89.98973402,102.3149912,123.2588622,137.9686416,118.9250652,153.3747808,133.1370571
20.66765357,118.7973513,121.12471,142.9567126,97.46685614,76.00906558,182.2296204
27.0755367,64.37977145,92.12478849,125.0867788,65.22321413,86.20169632,164.0464747
51.51898903,86.39972409,102.4279576,116.3293778,91.89657118,114.1239153,100.8055152
258.5694313,73.01862301,77.87881523,89.74800962,278.5121826,267.1078668,124.109253
48.15893436,97.69292378,117.4181317,146.3035691,100.3314665,102.5252277,118.4549635
108.7496374,116.3078034,126.8332214,140.4214286,123.7928504,161.0387972,162.2317433
86.12839089,109.9876342,126.3500344,153.4386815,122.3962391,162.8571534,160.3819639
105.4999758,123.196169,141.8281548,154.2632233,137.1311229,182.2611502,165.822383
13.71181819,51.75824293,63.55774305,86.86112091,45.26258414,44.61059901,102.1068668
40.74896706,89.98546669,109.436347,124.5126129,88.68223242,93.80041531,157.1734321
48.08080633,93.48391609,119.1485471,130.553242,113.027427,103.7977776,140.2233228
97.74648745,119.2981425,134.2199841,162.6971357,125.9431107,172.062307,166.8767179
71.32073736,85.49910352,101.8232046,131.7343111,95.28586017,116.8900499,117.518581
63.04351733,125.8203233,149.8453907,154.631976,124.4860531,140.6954183,147.6605807
38.24303683,95.56561884,108.2940618,123.6966485,85.32957367,85.19899904,149.1559735
72.97099686,94.7691815,112.2542008,98.2874731,102.7664652,128.197343,179.2498994
50.76637411,83.5193998,99.07086996,107.8399888,102.1129597,146.8618609,119.7561759
311.6670753,79.61469362,50.15062816,68.48314192,288.1392057,296.1771988,211.4255317
90.65723737,112.951715,121.1477762,132.1679285,116.0981768,135.1608355,271.1569778
81.68534032,88.46409894,110.435508,106.2279757,113.0513236,140.1315397,101.2070636
