Image with Motion Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
37.91,46.17,40.77,27.36,74,54,30
55.3,47.05,39.98,34.4,35,40,23
56.01,64.78,40.04,30.74,29,23,22
43.28,47.86,29.87,31.85,41,28,36
42.92,45.37,41.37,35.65,40,43,41
46.09,60.5,42.04,40.73,27,33,17
43.09,38.6,27,28.93,27,33,17
51,51.72,47.22,48.58,23,55,29
37.28,35.76,30.03,24.38,85,86,64
59.07,52.04,27.12,23.91,56,48,35
53.11,49.9,33.8,32.71,29,18,28
65.24,38.87,30.63,29.29,24,33,33
33.95,44.32,32.75,31.17,43,25,25
53.11,49.42,42.42,50.26,46,45,46
55.06,58.94,36.33,35.87,24,35,29
58.53,49.47,47.89,48.68,44,42,48
39.2,44.93,47.68,47.47,28,23,16
31.65,30.07,33.51,53.55,56,37,43
46.48,54.02,33.53,28.71,43,42,28
47.65,38.67,55.16,75.08,39,42,30
26.56,30.06,20.23,15.54,64,76,52
58.52,37.85,27.22,23.1,52,87,40
62.61,48.64,35.13,29.11,45,29,48
41.74,40.82,34.67,27.9,48,54,53
55.58,70.76,44.17,37.28,85,80,50
39.77,44.76,36.81,33.09,40,34,49
46.43,50.63,47.8,38.87,40,45,44
42.89,45.67,39.92,40.25,41,42,49
89.54,47.75,42.15,50.33,45,30,18
51.6,52.57,43.65,32.22,31,29,36
90.53,67.54,60.47,51.04,41,33,41
40.61,44.43,30.08,21.9,46,34,45
70.49,54.38,36.56,34.43,49,40,55
42.9,45.23,25.4,43.72,48,35,51
59.72,20.43,33.33,22.48,24,25,26
93.03,64.54,51.01,60.18,41,28,48
38.57,42.39,35.68,40.44,40,56,65
48.03,64.13,44.91,35.52,49,34,46
46.94,44.98,43.71,43.72,17,29,26
37.43,41.39,46.56,55.18,43,34,35
54.39,56.21,32.63,30.34,37,24,24
72.98,58.07,45.27,29.4,26,33,38
48.54,41.8,37.78,38.36,21,80,28
60.84,50.15,31.67,36.01,43,46,62
82.35,34.52,40.51,38.06,30,34,22
47.77,51.91,30.24,15.57,31,26,25
64.12,38.36,28.47,30.98,50,41,61
44.33,45.32,37.51,34.54,55,39,51
36.83,50.47,33.62,26.31,57,94,31
69.32,43.79,32.74,34.91,42,41,38
41.21,51.15,31.36,33.49,42,33,45
47.01,51.27,31.56,28.32,22,25,21
75.2,37.73,33.73,26.83,47,44,51
37.56,37,37.94,40.48,27,46,19
45.44,55.17,43.7,34.05,42,40,35
57.27,42.53,36.9,35.39,31,17,26
39.42,52.5,33.38,27.11,49,48,49
73.79,41.03,40.49,29.91,68,47,59
55.39,51.27,37.65,30.95,44,40,48
36.89,44.9,31.53,29.93,23,31,22
53,43.42,37.92,31.72,16,20,19
44.84,42.47,29.72,29.15,40,12,38
42.23,52.26,36.27,29.39,49,44,50
54.14,52.39,41.64,32.17,36,14,30
39.11,45.1,34.12,25.85,32,41,46
46.78,43.39,37.46,34.97,21,39,7
52.52,47.43,37.54,36.89,38,27,35
74.76,30.29,32.8,24.05,25,25,18
54.2,57.92,56.47,41.15,54,45,24
46.41,44.19,30.72,31,41,27,27
59.69,61.9,45.19,30.77,29,52,26
80.5,59.4,47.32,52.34,43,48,44
48.49,50.64,40.71,35.95,36,34,37
59.33,49.29,31.93,29.78,66,68,61
52.39,49.68,34.39,33.21,27,23,31
33.44,32.99,40.81,38.64,44,133,35
46.83,48.49,43.79,31.16,25,19,30
41.46,45.87,41.45,31.11,53,39,52
35.05,40.78,33.08,27.23,44,28,43
40.48,51.54,45.64,40.77,26,21,15
41.16,36.61,31.82,31.02,38,30,39
85.47,70.8,55.85,36.26,50,36,32
90.37,41.04,41.67,50.74,48,40,45
57.41,73.92,41.02,31.26,36,18,33
51.28,62.71,45.94,46,39,34,23
67.04,57.34,42.77,46.32,67,84,59
34.52,44.69,37.03,30.38,48,31,47
35.99,42.84,40.15,30.31,42,36,21
42.76,44.51,47.42,41.13,48,41,54
26.9,22.22,32.59,60.09,4,33,42
55.63,55.02,30.38,23.42,24,60,55
39.62,47.04,47.18,37.61,20,53,31
41.5,42.72,41.53,27.58,33,66,30
54.26,51.65,35.51,35.32,45,37,29
40.19,36.14,27.54,42.62,24,18,22
39.75,61.79,31.15,24.94,40,39,40
41.75,49.71,32.98,13.72,43,42,44
61.92,53.89,45.46,38.3,17,52,37
41.56,44.34,36.84,24.15,58,46,42
34.49,46.76,33.39,41.67,44,32,45
75.27,59.49,36.32,29.42,22,21,17
41.67,37.3,36.49,38.22,41,46,40
51.17,41.68,34.58,29.78,21,60,55
68.72,60.88,38.61,39.21,29,38,40
50.5,50.54,39.78,34.16,44,19,48
46.65,46.25,48.15,43,49,44,40
41.89,35.04,36.26,42.86,38,26,35
57.69,43.51,35.85,41.57,36,37,39
87.18,75.6,44.03,30.94,56,59,34
52.26,58.23,40.2,30.15,59,54,57
39.94,43.37,42.81,44.38,44,35,49
54.01,52.06,46.01,49.87,84,81,83
61.33,39.68,42.27,36.91,28,49,16
45.01,40.07,36.69,26.52,27,25,15
90.56,38.68,58.61,45.17,19,32,33
45.52,45.31,39.63,35.81,48,45,57
42.21,46.44,31.06,22.86,43,29,40
62.89,43.33,32.5,41.42,54,46,40
46.35,53.67,39.71,23.51,31,39,19
101.47,65.84,71.11,68.19,55,49,43
83.19,55.53,30.84,28.1,22,28,28
42.15,41.85,41.18,32.59,30,20,20
86.22,46.35,41.81,34.38,15,48,46
44.8,55.09,43.76,34.67,22,44,30
39.64,53.66,41.3,33.85,55,49,37
112.08,67.42,76.9,76.19,42,41,39
38.88,46.77,42.43,35.87,55,49,29
24.01,31.7,44.56,47.65,48,39,52
40.33,45.29,39.69,31.7,22,11,32
58.43,53.77,41.12,32.77,20,23,17
47.86,48.66,46.44,44.11,22,47,31
20.38,24.73,37.72,36.6,23,16,24
52.71,49.47,38.45,34.01,88,87,71
43.41,40.99,26.87,27.72,39,38,27
43.07,48.47,36.58,30.81,44,35,44
64.02,56.9,26.38,22.08,60,118,18
38.8,42.84,30,29.24,35,32,39
40.65,48.48,41.27,32.04,24,43,20
45.58,46.91,39.15,32.84,48,28,46
34.51,39.14,27.63,40.51,24,18,20
41.34,48.81,31.72,31.32,42,37,41
60.57,59.08,43.28,35.91,35,33,31
32.95,24.42,29.04,36.27,37,46,44
59.37,64.47,51.25,47.59,31,26,22
37.35,43.98,36.78,27.42,38,36,27
36.13,25.89,27.17,27.72,38,29,43
51.46,54.35,38.93,28.09,28,30,38
39.56,55.23,35.34,13.76,41,38,44
33.15,40.68,30.22,19.4,30,19,31
45.97,45.01,56.33,50.93,50,48,44
72.65,49.8,45.72,48.44,15,58,24
41.6,40.44,32.37,29.94,88,73,64
49.05,44.49,52.8,55.63,42,23,40
60.11,28.7,36.64,34.69,49,47,51
37.38,41.44,37.7,37.54,44,40,41
77.39,41.76,35.91,43.08,31,33,32
47.66,45.94,29.12,30.12,40,29,45
45.51,44.95,52.14,43.64,48,32,52
45.93,49.52,47.53,40.24,30,18,18
77.55,41.6,34.25,30.75,21,34,8
43.19,51.43,41.78,26.43,60,56,30
57.23,52.79,37.78,30,27,17,29
55.72,54.75,41.07,42.05,38,23,32
36.57,37.59,45.98,44.6,47,37,46
44.64,47.04,50.55,37.77,59,45,48
68.55,56.74,55.52,55.04,24,27,23
39.52,44.13,41.05,27.14,30,34,51
58.16,58.32,55.92,42.44,46,37,42
47.65,35.95,33.09,28.74,60,44,41
56.02,52.92,44.65,38.28,38,35,43
43.63,43.82,27.58,30.16,18,49,78
44.21,43.9,32.18,35.69,30,28,29
38.35,39.6,37.25,42.01,49,58,32
49.03,51.3,38.34,35.71,27,21,26
58.14,54.9,44.49,29.63,38,32,37
49.87,44.91,42.74,40.25,40,23,35
68.92,26.62,38.78,39.4,29,29,24
35.48,44.63,30.69,24.79,45,102,32
37.06,38.85,29.04,19.55,40,28,42
56.06,43.24,34.1,23.44,62,53,33
116.43,64.13,96.97,92.05,27,13,25
82.27,30.99,39.06,35.86,42,43,48
45.33,47.25,46.62,41.29,23,28,24
64.2,51.15,34.78,55.19,15,59,39
41.71,46.22,33.98,32.12,25,52,47
51.92,44.78,32.63,38.58,39,25,32
54.24,44.98,49.85,44.47,39,45,36
63.64,67.42,33.78,25.57,66,78,49
80.88,67.85,49.88,28.52,48,30,44
45.57,42.62,35.47,31.12,46,40,54
64.86,71.22,54.24,38.46,40,39,42
53.86,44.89,32.57,41.03,53,50,53
47.82,46.65,41.11,33.47,35,24,42
67.32,54.95,29.04,27.57,46,37,51
49.18,52.27,38.7,26.21,15,88,31
65,62.26,38.73,29.29,68,55,44
100.7,35.75,47.12,55.04,71,85,77
66.67,59.84,32.41,23.26,43,39,44
56.91,55.88,45.21,37.78,49,40,55
64.26,45.28,51.45,86.49,35,47,79
51.68,58,46.6,38.46,39,32,36
50.14,52.33,45.48,32.44,46,47,49
68.14,30.15,33.92,27.92,39,49,24
65.62,54.86,26.99,22.27,38,29,35
60.38,57.23,55.21,51.92,56,57,60
82.99,63.98,39.73,34.36,46,41,39
38.93,47.32,38.94,30.11,46,125,33
42.69,50.95,40.84,20.38,52,36,50
56.11,55.91,32.77,25.38,40,34,49
52.93,50.91,24.7,25.76,60,42,38
41.91,48.4,41.74,38.28,44,42,47
52.16,49.66,48.97,39.54,44,40,51
58.71,63.62,38.08,23.71,49,34,41
41.41,45.03,41.41,33.9,41,41,46
41.08,45.87,37.14,29.19,41,40,44
54.97,49.03,38.14,34.59,58,50,47
46.67,65.91,31.23,18.16,60,45,39
35.4,40.39,35.48,29.35,41,36,39
56.21,60.17,42.9,32.15,68,34,50
58.32,61.85,49.18,36.77,49,43,56
40.01,37.95,45.32,51.29,36,44,46
65.47,69.6,57.31,37.41,61,42,60
51.58,55.96,44.12,30.3,49,28,44
49.28,42.4,25.56,25.42,40,39,46
41.86,42.52,50.42,35.94,39,35,50
38.59,38.14,38.36,40.35,35,37,42
53.93,52.79,41.6,27.79,43,48,48
41.07,46.56,39.25,25.41,42,27,41
61.04,30.7,33.96,64.72,25,52,47
39,39.02,37.17,32.25,40,43,40
38.78,43.3,38.32,29.94,39,32,41
58.39,58.37,47.29,38.36,55,38,51
44.4,47.97,34.49,32.13,36,26,36
35.75,39.66,42.69,31.15,38,39,43
56.2,62.61,45.49,36.24,49,35,50
55.61,63.72,42.67,31.92,49,18,48
57.86,46.22,44.99,51.04,62,50,41
61.86,52.44,33.62,34.23,57,50,37
46.27,48.58,28.12,34.87,48,41,39
44.14,32.54,40.63,30.58,49,45,43
43.59,47,47.15,24.68,40,26,44
61.55,34.62,35.49,27.33,40,50,34
37.01,36.35,39.02,33.2,36,36,42
43.76,47.88,42.14,36.02,45,29,48
47.35,48.11,31.89,24.07,38,37,37
43.06,43.93,37.3,29.58,38,34,45
47.79,45.46,36.38,39.39,48,41,38
49.23,46.79,19.5,24.79,37,25,43
34.73,49.79,32.23,24.69,40,36,40
69.93,56.59,35.14,32.84,47,37,39
49.43,57.82,40.47,26.83,51,35,48
87.44,46.04,69.3,66.97,84,81,83
43.68,50.67,38.53,23.5,60,44,41
42.52,39.24,37.84,33.67,43,42,37
46.66,46.4,23.88,29.07,39,27,32
71.68,58.59,29.52,26.1,62,53,33
38.42,42.73,31.19,28.33,37,38,32
44.73,53.62,35.6,27.38,53,51,44
62.48,51.45,29.2,24.67,47,39,43
100.08,32.54,31.54,44.12,57,71,41
48.46,53.56,39.65,26.17,43,38,48
68.32,60.34,41.11,32.69,55,49,39
37.75,46.61,31.46,20.55,51,38,45
49.02,49.02,28.02,25.92,35,32,39
39.66,40.45,36.79,27.28,36,36,42
49.66,51.32,37.55,31.01,41,30,41
60.72,39.06,26.06,30.73,57,48,39
37.03,40.94,36.74,29.33,36,33,37
37.06,40.53,30.06,23.45,42,33,40
62.09,55.42,33.34,25.33,60,50,42
40.44,55.41,40.63,21.82,65,51,53
39.53,44.02,35.54,22.62,40,34,42
59.11,45.54,35.23,32.06,49,44,40
64.79,47.37,31.15,28.96,56,39,45
56.93,41.69,36.01,37.17,38,34,36
