Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
65.46,58.48,31.53,3.62,40,38,47
32.5,55.81,33.29,4.05,39,34,52
56.34,49.7,39.49,21.35,47,23,44
31.57,46.16,32.31,3.97,25,26,48
50.64,54.88,20.69,3.3,34,36,6
9.09,43.88,16.03,12.78,27,21,9
26.65,49.96,12.59,5.15,32,21,16
65.91,51.16,53.24,39.51,35,35,23
31.8,34.8,45.45,4.86,60,26,21
58.29,57.93,41.93,13.94,46,35,47
25,9.09,39.84,14.24,49,39,42
67.77,45.22,29.78,10.81,34,43,42
49.84,41.58,29.65,4.62,28,27,50
52.43,50.16,22.86,4.64,35,10,27
47.73,56.29,23.68,10.38,48,18,24
40.27,50.43,31.86,7.72,36,28,23
47.59,60.1,49.55,14.45,46,33,52
46.86,44.67,24.1,4.48,40,33,11
40.39,48.28,29.87,9.74,41,20,38
43.16,46.84,37.71,10.51,36,53,14
3.97,49.43,22.05,6.03,42,30,17
40.69,54.93,26.74,3.49,40,19,47
49.02,44.69,27.57,5.73,45,19,38
52.99,52.38,36.49,6.14,41,26,50
33.33,31.31,47.8,28.68,30,10,33
51.2,55.69,19.42,2.71,23,10,26
46.04,46.66,14.61,7.29,29,10,12
41.89,40.36,29.35,5.11,34,27,12
34.43,41.68,37.6,13.1,36,12,38
59.38,55.46,42.97,10.59,47,34,34
39.79,49.01,23.47,4.32,37,14,26
54.34,58.13,30.45,6.23,42,28,51
35.4,51.81,31.3,9.52,45,26,37
54.2,59.69,40.34,10.37,51,23,55
45.86,43.22,12.96,2.86,22,26,29
42.11,53.56,33.51,24.93,42,21,20
51.64,60.18,33.29,3.65,42,34,17
45.86,44.98,28.74,7.82,33,16,44
31.75,48.95,16.59,3.41,28,16,23
100,31.84,29.36,6.42,41,53,13
39.25,53.58,24.25,5.31,39,24,29
55.83,59.92,36.63,21.49,52,34,37
49.88,53.8,41.96,17.33,50,30,45
52.32,56.32,34.24,8.3,44,28,45
52.13,45.69,25.76,18.58,30,12,20
35.32,37.18,17.58,4.18,35,24,38
23.45,46.31,29.73,4.74,47,30,44
51.56,59.58,31.48,6.08,37,33,37
48.05,50.55,28.66,2.1,35,10,43
49.47,57.29,35.62,16.81,46,8,16
61.99,56.13,32.57,15.37,29,12,33
34.64,42.55,40.7,12.77,48,38,41
54.46,40.9,26.06,7.15,33,24,10
31.01,39.93,11.92,2.92,26,14,36
46.66,57.32,31.09,6.61,42,22,46
52.71,58.43,28.08,4.78,32,22,47
43.82,50.8,50.17,31.03,48,25,44
33.16,42.33,16.82,5.06,30,23,31
49.14,58.36,14.23,5.04,20,17,27
62.67,63.22,36.88,3.21,36,21,51
47.24,58.69,34.42,6.3,40,33,19
63.92,40.96,28.56,3.8,37,32,24
56.34,44.74,36.96,11.07,45,44,17
16.67,28.02,13.69,3.83,21,30,15
45.27,50.57,14.99,3.79,32,16,25
47.37,49.11,35.28,6.27,43,25,45
45.13,53.56,24.68,5.88,37,28,23
59.15,67.49,24.56,4.42,30,24,41
51.54,55.06,47.21,25.41,55,20,51
50.05,56.57,41.99,8.66,44,12,44
49.54,54.52,36.84,8.88,43,35,45
45.45,54.68,31.03,13.92,48,29,24
47.53,52.68,50.22,33.17,45,10,40
18.91,41.9,21.33,7.74,39,17,32
100,56.26,34.65,9.46,16,11,23
45.33,63.24,24.91,3.79,40,19,42
50.03,43.5,43.26,19.69,46,19,50
48.73,53.59,39.46,10.64,43,45,55
50,47.92,24.37,2.36,31,15,27
39.8,52.06,24.45,4.44,40,21,22
50.52,47.19,32.31,7.1,39,25,26
51.9,53.6,31.7,32.05,57,30,43
51.39,54.46,29.36,4.5,38,25,37
41.17,48.33,37.59,5.98,39,22,48
21.35,37.38,10.91,4.25,24,17,40
52.78,53.4,28.27,6.84,34,10,25
51.13,54.9,44.24,9.05,52,27,50
43.35,48.29,30.89,3.69,42,18,35
29.15,23.64,28.61,12.17,39,7,42
47.69,49.89,25.43,7,46,39,15
47.53,52.97,19.07,5.02,22,28,25
37.29,50.13,22.61,2,28,8,39
54.68,59.69,27.93,6.69,40,9,39
51.51,39.74,9.28,2.72,18,15,22
54.63,49.49,39.81,21.74,33,48,18
77.01,46.5,32.46,14.23,40,28,47
52.33,59.01,38.71,16.09,45,27,47
56.45,50.41,26.04,5.42,35,32,11
35.87,56.42,34.73,10.97,46,37,54
47.43,53.67,33.65,4.37,43,39,18
46.35,57.95,25.9,3.15,31,7,19
52.6,60.89,19.77,3.11,30,7,34
42.86,50.74,33.29,15.74,39,33,46
52.17,61.73,39.15,5.8,44,10,43
