Image with Blur,MBLLEN Applied,GLADNet Applied,Retinexnet Applied,CE Applied,PPRP Applied,PCA Applied
28.88113968,52.98510595,80.81646795,115.9284338,66.46825272,163.0740221,147.7466401
25.96390331,79.13662813,115.2727818,124.268184,84.23870878,72.62987686,136.6709653
44.71781832,93.77705047,72.03467156,111.1936223,88.38148172,66.54036148,429.5046235
91.47946022,119.6818382,133.045167,127.3723251,129.474513,151.240694,282.1643849
99.18509195,106.7104,120.8456956,123.24443,118.5117378,134.9267147,222.7807471
61.59108448,122.7254986,147.6948172,149.4213997,124.3501986,139.5940692,144.5351728
57.5936414,65.62870995,88.11049133,110.1958727,74.4058759,95.95826863,84.27189142
25.62489031,75.87000018,109.6630006,125.5902275,87.35768763,60.88250932,133.1033173
55.48289831,91.16560551,109.8349175,131.2586353,100.317759,121.88828,143.1687285
45.01655271,110.8795348,113.0886017,140.3375046,87.510651,94.23262268,138.1745553
65.38637801,87.10758219,106.554956,136.5067253,101.9325246,126.4296545,173.2182254
106.4846291,122.5806333,134.8616164,154.9866128,127.8117373,162.18974,145.8125546
34.22822869,123.1133224,126.5214232,148.7584257,90.88010765,71.04187925,190.5017013
102.3901278,113.4018403,132.1599897,125.1762298,132.0367923,174.2733205,219.6909903
46.30076673,89.59248209,112.8911712,144.0157341,93.46752383,110.3466442,136.4282331
63.74411789,83.24613656,97.10766142,118.3957961,85.14864804,112.5284455,144.8762422
80.1622214,100.5270182,128.328663,147.9631331,123.8894473,131.2884687,233.5458043
64.11235253,104.6903388,109.7427787,140.1178313,91.91108383,114.564038,141.4120777
71.98517263,95.63872345,117.7043502,150.7894557,110.0572779,127.4962339,128.9636844
59.52350759,89.35744093,102.3961519,137.0594212,83.6713706,127.340537,153.1110507
72.78094782,101.3551127,131.2800585,155.6417162,122.7795622,129.0872211,158.8431413
31.98749575,115.1432367,115.0521341,122.7648195,108.326371,83.62895273,180.2761925
57.16555652,99.62608553,110.6898407,128.8218379,103.5559601,120.0424858,156.8291122
66.23519687,99.52064275,123.6269557,142.4245493,104.4544141,119.0647533,155.988315
98.05484428,106.755908,112.2748867,126.6091289,112.4742803,182.9725871,117.3748122
48.81890813,61.81548983,85.53838859,114.4753738,84.07362483,114.3804097,110.2521054
82.1935378,96.68535157,107.8544042,133.8207558,97.85546523,127.5533523,109.264728
111.8215336,112.7271161,127.1156741,149.9411407,137.200444,154.2939239,179.0173365
73.12505715,125.567926,137.8581066,157.055274,120.9950376,147.7953617,183.8279197
8.8803147,94.55265028,71.21585752,72.38499919,52.93839453,41.55547149,202.0407494
66.97026611,82.7961164,110.0282788,123.4012004,108.279604,128.3186931,102.2020059
275.6571473,84.00203228,94.75561557,96.08958709,318.9135739,307.5139908,77.33678036
49.75587333,93.07859033,77.74287539,101.0427739,78.8715872,78.07934794,269.06514
63.11269046,72.50723672,90.13489763,119.0581963,85.19588441,92.70204019,95.39955662
21.20962128,102.212238,96.82437339,126.6737341,61.01315658,45.6384055,232.9354507
18.63543907,74.21881473,81.03015559,104.0037031,50.20145413,48.08448521,212.9241332
79.81300442,100.7132689,116.0577523,109.3008465,113.2440534,138.3831353,125.9532646
280.410722,82.37269803,101.5852515,110.895102,321.8076336,310.7879634,101.9708592
26.93582352,63.25567511,91.68892635,123.02224,64.44413966,146.5465003,161.3781642
59.56042093,110.1436677,124.0809115,155.9660505,102.1865036,122.7993898,186.1566539
69.88214957,70.90674718,91.72551017,96.83877224,76.86528638,115.4031892,248.7013408
281.1946856,78.64549094,94.76248783,105.0429052,312.5206672,296.7434689,102.5091476
41.33780242,92.3711488,117.9832666,115.3380943,103.8388598,100.1003897,108.7135259
91.86203144,101.0331288,115.2388839,102.23174,119.3756139,159.4510638,157.2144963
50.85793416,83.29976978,99.10501147,107.4659907,103.0500151,118.224426,120.3036299
70.06457956,111.2918945,117.0450565,121.2144577,117.880482,161.4915186,160.1093394
81.24402072,98.06670502,115.5221395,124.0295236,111.3935428,148.6493719,129.0575062
18.14772393,88.63599489,117.2007143,131.1371867,88.04278181,57.57493886,176.7404746
37.52693249,72.19870827,86.74836958,101.6591856,75.92656107,77.92328255,128.3575315
72.63877995,96.15432936,115.8566716,144.4575138,115.8982434,130.6449968,149.9347875
61.56343633,79.51628818,87.18206073,116.1996608,83.65934441,106.5843178,93.32465436
112.5130296,123.8867579,127.5650178,159.0661144,135.3225583,166.9415406,168.280901
38.98389478,97.12806831,109.5263754,124.3370932,87.30890748,88.14758074,152.7437434
76.81924284,96.21605081,106.676791,132.4710344,111.330152,136.4791759,113.5103801
91.88962133,107.4309272,111.3370733,141.6304198,109.5300877,125.9274086,120.1223913
38.16654512,102.0262683,105.5195503,129.2604629,88.57459598,82.70327627,124.0860648
109.6138421,117.30818,126.6586746,140.8538554,125.7821784,162.8098821,159.2530582
65.29758727,83.78327238,100.7236168,116.4563574,108.5922466,115.5513786,88.08544054
83.73732281,106.1520167,118.190497,152.7033443,116.2331068,147.9194692,134.1825984
105.0055848,107.4943427,123.9808531,147.9269866,124.9670129,146.4479843,188.8980552
26.73126578,66.73071483,70.49682746,85.96558112,79.70799201,65.600548,117.1841021
55.49446476,110.1430531,132.4678109,144.1330915,115.5437321,112.7985326,135.7281837
63.78332565,78.405352,78.93150556,114.4064693,90.97838555,89.58664454,190.9730004
69.42896857,126.0945716,127.4752452,154.3482868,113.418486,134.7084449,157.2429239
88.2962867,139.1610487,158.1113694,181.9790867,138.1881907,171.2402949,181.3143961
87.70051061,127.5062014,158.439811,169.6997122,138.8192853,147.1625712,220.1046415
98.57781538,111.8347273,128.7067802,138.3747093,124.4376848,161.7463747,143.1721471
56.53708778,69.82460492,72.39511421,82.8241403,80.24137616,67.94597458,328.3257393
67.50979947,84.17439505,110.7570454,127.4725835,95.13247516,125.9330306,165.5656953
10.84294326,66.90597738,75.77972198,88.77382086,75.68809253,47.25190539,99.45016878
65.69132269,76.14816475,98.40375874,120.5636431,104.7979414,230.3071324,134.3624309
52.23789326,72.18234623,92.69005138,122.0395769,85.48943836,106.7484018,102.9063679
57.72242756,107.0495364,120.8824854,130.3402199,113.3274683,118.1644224,142.282868
43.06583054,62.58632373,85.18301362,117.2381098,76.49803584,98.47558886,89.29865623
46.29563094,69.21831042,109.6048297,131.9724515,94.22255463,125.7948968,108.4218507
78.90982217,87.81280099,105.7210755,107.9222324,99.21606327,126.1422421,190.8341509
90.14015378,109.792719,128.5757836,147.0491917,119.207823,146.3965576,127.1831902
63.63381317,82.62748839,103.3479939,123.6124868,97.7777975,115.0662765,91.99629743
92.44426659,100.6487864,101.9080734,129.9428615,104.5127755,107.4265212,91.29675444
34.8846557,78.53480889,98.39929081,107.115943,78.57984903,76.89776484,122.2084069
100.287219,128.4336699,154.572384,185.4671602,151.3187347,176.9930708,190.7966378
117.3999832,131.3896674,149.2065511,168.4515471,140.0737954,173.6206015,178.5686438
39.43608294,53.15022977,81.3313978,110.0012024,58.54151148,174.1408361,152.8491659
270.0057774,90.25599916,98.91334347,116.456216,301.9803247,294.6723957,97.57364581
72.66789751,100.6639722,124.0184564,132.4144184,114.7649637,139.351229,175.2148216
57.90419228,77.88315693,105.3000218,116.3416865,101.9191221,139.2023666,118.8392723
61.04769981,86.75627269,101.3677009,105.7436674,86.092435,84.12729413,260.5525887
76.26841357,95.11476285,109.7672915,127.5416492,103.4711555,136.6363429,123.4004572
311.3483216,78.68639897,101.0648871,102.626798,348.0997963,340.5473915,106.7106368
28.74030756,78.18791506,87.32022011,84.17558996,79.12776917,161.8290817,234.4599926
38.97980118,126.5322166,136.3081795,152.4707422,120.3806546,98.35372927,164.4451696
49.57780541,69.41251128,91.88446299,112.9425645,86.77516886,99.63743024,113.7917101
38.36086834,60.58648954,92.89124633,121.7029132,81.33781019,93.21866015,114.292812
110.419605,138.7656048,160.7072893,172.2090856,155.2835512,191.035159,168.234203
65.875313,98.8233076,120.7457575,142.120187,117.2850548,132.0153373,135.540898
254.5329028,55.01184648,71.77498572,84.63738957,272.2713404,255.2811873,78.48844154
15.14184616,60.59127863,80.71552431,89.58094835,88.75581467,59.62435253,87.61220259
18.15378007,73.84361924,98.56770693,118.5670584,91.29051787,81.14305523,165.5086683
30.04136014,48.99511201,73.16503709,83.27857691,53.78334878,62.21874147,81.66100942
51.0821897,112.9639479,126.4898458,130.1491629,114.2199794,107.9569835,147.3780827
77.5847921,95.39040972,118.0410877,125.5087651,105.2700949,130.1402556,189.519706
60.05482902,83.55893492,95.48526712,119.3434512,100.994907,90.77585093,90.72745665
34.7807908,97.5447984,99.79361763,130.9634376,76.30892664,77.37631477,170.8967152
50.79074402,87.28853083,48.6472319,83.17960237,83.09967201,70.95266729,425.7068194
33.18131916,61.82734969,76.62148722,114.4473629,63.64140394,86.5233827,105.4062902
54.96222972,92.75772583,115.7435341,141.0932397,100.4752859,115.4919239,153.0726994
27.46444393,53.71128215,89.81268686,114.2835172,84.34351818,107.233395,102.6408123
75.28108478,112.638401,128.3536047,127.5556279,119.8240229,136.0867153,173.2124295
13.77075434,61.00014436,88.24312328,86.15068494,54.12225364,81.09029243,168.8573934
255.0583668,71.14165335,77.6633169,88.49531027,278.9292678,263.6198544,121.5314064
68.85812733,96.94825507,103.6169155,143.4849765,94.43975373,133.9409305,142.7258075
81.67266682,119.5192638,143.9131197,150.0643568,133.8165912,148.1972133,176.7239865
32.1685434,66.15493473,97.7606938,88.91070689,97.19998909,133.8644051,189.3070054
268.3391968,66.2003969,75.94357458,88.80963444,283.2835539,275.0905181,80.69149507
28.60402643,98.78173178,103.3723372,126.9629748,71.67296333,84.29577983,166.3076386
93.86104932,104.5347874,119.4283888,137.7571443,124.4343067,142.8246519,167.0455897
42.68742348,94.20851865,110.087181,125.0371782,95.66027003,97.47653127,160.7105777
82.94286601,117.1142311,144.5605783,164.740706,135.7259605,158.8577618,168.9391709
56.72425637,81.77065128,91.83479795,110.8250458,84.67853255,113.4105328,195.7956985
56.08778548,108.372007,112.4347099,104.1469665,117.3060465,114.0627715,129.471655
91.38064502,101.8934498,125.8659133,125.6882949,121.8103051,157.4635308,165.8477115
58.30855587,76.63839777,98.44586306,126.6787406,93.68384245,131.4156136,121.8612079
30.05263338,72.21586934,88.92640551,99.98647796,81.10472454,76.62408491,87.22189944
259.9856779,66.08956628,87.50681187,99.86645249,308.2877566,295.1458874,95.83556236
36.76263253,100.7784062,119.2846176,144.440594,88.9822085,205.3489274,275.0685648
53.52272059,75.66454115,111.4080156,124.7875399,100.0148598,103.7123555,97.85719829
14.07535834,86.38390575,91.80789501,116.2945698,81.97011859,71.40037596,133.5442961
32.30162982,51.30051792,82.48058095,95.59115055,72.50073238,135.2481928,105.5395713
110.1666822,131.3822118,151.8590974,154.4222423,147.5692217,193.1814762,182.8677024
57.26293708,82.82059899,106.4456503,138.6685561,93.22425491,122.8015724,118.1781449
92.94533529,110.5194224,123.3319858,141.7957191,124.9270247,156.0959491,135.3488468
59.65513608,81.72807891,93.00172104,103.7841045,87.41485873,110.5051236,136.183383
